TF,Target
Zm00001d017614,Zm00001d021057
Zm00001d040090,Zm00001d049443
Zm00001d026094,Zm00001d049244
Zm00001d040611,Zm00001d038355
Zm00001d043915,Zm00001d037951
Zm00001d002801,Zm00001d032453
Zm00001d031620,Zm00001d006094
Zm00001d025944,Zm00001d013895
Zm00001d023411,Zm00001d023402
Zm00001d023402,Zm00001d023411
Zm00001d044988,Zm00001d014563
Zm00001d028217,Zm00001d006094
Zm00001d051465,Zm00001d017614
Zm00001d034353,Zm00001d039371
Zm00001d024324,Zm00001d020137
Zm00001d031620,Zm00001d021057
Zm00001d027852,Zm00001d048312
Zm00001d014863,Zm00001d042880
Zm00001d033987,Zm00001d028561
Zm00001d026094,Zm00001d021263
Zm00001d047017,Zm00001d030028
Zm00001d033859,Zm00001d018667
Zm00001d054080,Zm00001d014938
Zm00001d054080,Zm00001d014938
Zm00001d032923,Zm00001d037717
Zm00001d052133,Zm00001d032728
Zm00001d031736,Zm00001d010529
Zm00001d046632,Zm00001d036768
Zm00001d015614,Zm00001d018107
Zm00001d049543,Zm00001d047204
Zm00001d017614,Zm00001d048082
Zm00001d009160,Zm00001d040682
Zm00001d017742,Zm00001d046626
Zm00001d031620,Zm00001d048082
Zm00001d047017,Zm00001d014625
Zm00001d006094,Zm00001d017614
Zm00001d024324,Zm00001d044300
Zm00001d049543,Zm00001d048693
Zm00001d025896,Zm00001d051216
Zm00001d026094,Zm00001d007027
Zm00001d050781,Zm00001d050484
Zm00001d050247,Zm00001d032265
Zm00001d013357,Zm00001d029059
Zm00001d052229,Zm00001d043778
Zm00001d003645,Zm00001d023456
Zm00001d026351,Zm00001d049443
Zm00001d013357,Zm00001d033870
Zm00001d002364,Zm00001d027434
Zm00001d031009,Zm00001d041214
Zm00001d013119,Zm00001d034353
Zm00001d028217,Zm00001d021057
Zm00001d014863,Zm00001d049543
Zm00001d037274,Zm00001d038021
Zm00001d033987,Zm00001d047841
Zm00001d017592,Zm00001d042056
Zm00001d039324,Zm00001d012415
Zm00001d002364,Zm00001d022078
Zm00001d002364,Zm00001d038471
Zm00001d013895,Zm00001d032502
Zm00001d024324,Zm00001d002364
Zm00001d030028,Zm00001d047017
Zm00001d052905,Zm00001d027665
Zm00001d039371,Zm00001d034353
Zm00001d017609,Zm00001d021162
Zm00001d021263,Zm00001d020954
Zm00001d030069,Zm00001d024701
Zm00001d002744,Zm00001d015614
Zm00001d043205,Zm00001d028574
Zm00001d015515,Zm00001d038023
Zm00001d038907,Zm00001d029475
Zm00001d015614,Zm00001d010961
Zm00001d024324,Zm00001d039524
Zm00001d011692,Zm00001d012267
Zm00001d041781,Zm00001d006094
Zm00001d043025,Zm00001d012482
Zm00001d021057,Zm00001d006094
Zm00001d006094,Zm00001d021057
Zm00001d015614,Zm00001d044390
Zm00001d043205,Zm00001d012585
Zm00001d017614,Zm00001d028217
Zm00001d002829,Zm00001d050061
Zm00001d026271,Zm00001d002364
Zm00001d038907,Zm00001d002549
Zm00001d041781,Zm00001d037737
Zm00001d015515,Zm00001d027900
Zm00001d015515,Zm00001d043025
Zm00001d053819,Zm00001d050943
Zm00001d049443,Zm00001d040090
Zm00001d050310,Zm00001d052978
Zm00001d039324,Zm00001d006749
Zm00001d005100,Zm00001d011652
Zm00001d043025,Zm00001d035775
Zm00001d033246,Zm00001d027371
Zm00001d044988,Zm00001d039790
Zm00001d003645,Zm00001d013440
Zm00001d039324,Zm00001d018214
Zm00001d002364,Zm00001d032620
Zm00001d015614,Zm00001d012415
Zm00001d002364,Zm00001d038061
Zm00001d002234,Zm00001d049443
Zm00001d031009,Zm00001d014179
Zm00001d024324,Zm00001d009487
Zm00001d037274,Zm00001d019266
Zm00001d043025,Zm00001d014804
Zm00001d031736,Zm00001d024903
Zm00001d051316,Zm00001d017420
Zm00001d043915,Zm00001d005063
Zm00001d043915,Zm00001d024533
Zm00001d002364,Zm00001d042056
Zm00001d047081,Zm00001d048054
Zm00001d007868,Zm00001d018806
Zm00001d030069,Zm00001d012693
Zm00001d014863,Zm00001d007445
Zm00001d028129,Zm00001d030727
Zm00001d021057,Zm00001d017614
Zm00001d024324,Zm00001d042214
Zm00001d038355,Zm00001d035439
Zm00001d024701,Zm00001d022474
Zm00001d038843,Zm00001d003861
Zm00001d032923,Zm00001d031736
Zm00001d018930,Zm00001d022626
Zm00001d049543,Zm00001d043296
Zm00001d031009,Zm00001d033405
Zm00001d050310,Zm00001d002105
Zm00001d043205,Zm00001d029974
Zm00001d015243,Zm00001d038282
