V1,V2,
Zm00001d017614,1,1
Zm00001d021057,1,1
Zm00001d040090,1,1
Zm00001d049443,1,1
Zm00001d026094,2,1
Zm00001d049244,2,1
Zm00001d049495,3,1
Zm00001d042058,3,0
Zm00001d040611,4,1
Zm00001d038355,1,1
Zm00001d043915,4,1
Zm00001d037951,4,0
Zm00001d002801,5,1
Zm00001d032453,5,0
Zm00001d031620,1,1
Zm00001d006094,1,1
Zm00001d025944,1,1
Zm00001d013895,1,1
Zm00001d023411,5,1
Zm00001d023402,5,1
Zm00001d044988,5,1
Zm00001d014563,5,0
Zm00001d028217,1,1
Zm00001d051465,1,1
Zm00001d034353,5,1
Zm00001d039371,5,1
Zm00001d024324,6,1
Zm00001d020137,6,1
Zm00001d027852,1,1
Zm00001d048312,1,1
Zm00001d014863,2,1
Zm00001d042880,2,0
Zm00001d033987,2,1
Zm00001d028561,2,0
Zm00001d021263,5,1
Zm00001d047017,6,1
Zm00001d030028,5,1
Zm00001d033859,1,1
Zm00001d018667,1,1
Zm00001d054080,1,1
Zm00001d014938,1,1
Zm00001d032923,2,1
Zm00001d037717,2,0
Zm00001d052133,1,1
Zm00001d032728,1,0
Zm00001d031736,2,1
Zm00001d010529,2,0
Zm00001d046632,5,1
Zm00001d036768,5,1
Zm00001d015614,5,1
Zm00001d018107,5,0
Zm00001d049543,4,1
Zm00001d047204,2,0
Zm00001d048082,1,1
Zm00001d039306,3,1
Zm00001d034702,3,0
Zm00001d017742,1,1
Zm00001d046626,5,0
Zm00001d014625,6,0
Zm00001d044300,6,0
Zm00001d048693,4,0
Zm00001d025896,5,1
Zm00001d051216,5,1
Zm00001d007027,2,0
Zm00001d050781,4,1
Zm00001d050484,7,0
Zm00001d050247,6,1
Zm00001d032265,6,1
Zm00001d013357,3,1
Zm00001d029059,3,0
Zm00001d052229,5,1
Zm00001d043778,5,0
Zm00001d026351,1,1
Zm00001d033870,3,1
Zm00001d002364,6,1
Zm00001d027434,6,0
Zm00001d031009,3,1
Zm00001d041214,4,0
Zm00001d013119,5,1
Zm00001d037274,3,1
Zm00001d038021,3,0
Zm00001d047841,2,0
Zm00001d017592,6,1
Zm00001d042056,6,0
Zm00001d039324,5,1
Zm00001d012415,6,0
Zm00001d022078,6,0
Zm00001d038471,6,0
Zm00001d032502,1,1
Zm00001d052905,4,1
Zm00001d027665,4,0
Zm00001d017609,4,1
Zm00001d021162,4,0
Zm00001d020954,2,1
Zm00001d030069,3,1
Zm00001d024701,1,1
Zm00001d002744,5,1
Zm00001d043205,5,1
Zm00001d028574,6,1
Zm00001d015515,6,1
Zm00001d038023,6,1
Zm00001d038907,6,1
Zm00001d029475,6,0
Zm00001d010961,5,0
Zm00001d039524,6,0
Zm00001d011692,5,1
Zm00001d012267,3,0
Zm00001d041781,1,1
Zm00001d043025,6,1
Zm00001d012482,6,1
Zm00001d044390,5,0
Zm00001d012585,6,1
Zm00001d002829,3,1
Zm00001d050061,3,0
Zm00001d026271,6,1
Zm00001d002549,6,0
Zm00001d037737,1,1
Zm00001d027900,6,1
Zm00001d053819,3,1
Zm00001d050943,3,0
Zm00001d050310,5,1
Zm00001d052978,5,0
Zm00001d006749,5,0
Zm00001d005100,4,1
Zm00001d011652,4,0
Zm00001d035775,6,0
Zm00001d033246,3,1
Zm00001d027371,3,0
Zm00001d039790,5,0
Zm00001d018214,5,0
Zm00001d032620,6,0
Zm00001d003180,3,1
Zm00001d045599,3,0
Zm00001d038061,6,0
Zm00001d002234,1,1
Zm00001d014179,4,0
Zm00001d009487,6,0
Zm00001d019266,3,0
Zm00001d014804,6,0
Zm00001d024903,2,0
Zm00001d051316,5,1
Zm00001d017420,5,1
Zm00001d005063,4,0
Zm00001d024533,4,0
Zm00001d047081,1,1
Zm00001d048054,1,0
Zm00001d007868,5,1
Zm00001d018806,5,0
Zm00001d012693,3,0
Zm00001d007445,2,0
Zm00001d028129,1,1
Zm00001d030727,1,1
Zm00001d042214,6,0
Zm00001d035439,1,1
Zm00001d022474,1,0
Zm00001d038843,6,1
Zm00001d003861,6,0
Zm00001d018930,3,1
Zm00001d022626,3,0
Zm00001d043296,4,0
Zm00001d033405,3,0
Zm00001d002105,5,0
Zm00001d029974,5,1
Zm00001d015243,4,1
Zm00001d038282,3,0
Zm00001d052194,2,0
Zm00001d022550,5,1
Zm00001d047969,5,0
Zm00001d045112,3,1
Zm00001d008409,7,0
Zm00001d008756,6,0
Zm00001d045051,6,0
Zm00001d052230,3,0
Zm00001d008856,7,0
Zm00001d036719,3,0
Zm00001d019907,4,0
Zm00001d012931,3,0
Zm00001d008225,4,1
Zm00001d019699,3,0
Zm00001d009088,2,1
Zm00001d009090,2,0
Zm00001d040651,5,1
Zm00001d045390,1,0
Zm00001d028838,6,0
Zm00001d020736,5,0
Zm00001d031325,2,0
Zm00001d021464,3,0
Zm00001d031451,1,1
Zm00001d013703,1,0
Zm00001d034047,1,1
Zm00001d045231,1,1
Zm00001d038584,5,1
Zm00001d010676,5,1
Zm00001d011364,3,1
Zm00001d011597,1,1
Zm00001d013090,3,0
Zm00001d028995,6,1
Zm00001d027856,6,0
Zm00001d038884,6,0
Zm00001d034503,3,1
Zm00001d012092,3,0
Zm00001d038301,3,0
Zm00001d010280,5,1
Zm00001d041305,5,0
Zm00001d028679,6,0
Zm00001d024756,3,0
Zm00001d018298,2,0
Zm00001d018133,3,0
Zm00001d040554,6,1
Zm00001d024768,6,0
Zm00001d035323,4,1
Zm00001d042285,6,0
Zm00001d034859,4,0
Zm00001d052066,5,0
Zm00001d017495,1,0
Zm00001d049364,6,1
Zm00001d020926,6,0
Zm00001d031853,1,0
Zm00001d009556,2,0
Zm00001d024364,3,0
Zm00001d012321,6,0
Zm00001d024242,5,0
Zm00001d052380,1,1
Zm00001d022315,3,0
Zm00001d017457,6,0
Zm00001d002618,6,1
Zm00001d031796,6,1
Zm00001d003784,6,0
Zm00001d042962,3,0
Zm00001d028406,6,0
Zm00001d013603,1,0
Zm00001d026063,3,0
Zm00001d050689,6,0
Zm00001d042287,3,1
Zm00001d053298,3,1
Zm00001d016764,5,0
Zm00001d050119,2,0
Zm00001d048299,3,0
Zm00001d010202,3,0
Zm00001d009027,2,0
Zm00001d014762,1,1
Zm00001d032162,5,0
Zm00001d028841,1,0
Zm00001d021288,6,0
Zm00001d010227,4,1
Zm00001d038227,4,1
Zm00001d013259,1,1
Zm00001d034045,1,1
Zm00001d018742,1,1
Zm00001d002079,5,1
Zm00001d049016,5,0
Zm00001d020408,7,1
Zm00001d011604,7,0
Zm00001d048391,5,1
Zm00001d038593,5,0
Zm00001d042887,6,0
Zm00001d013960,1,0
Zm00001d014613,6,0
Zm00001d033990,2,0
Zm00001d039944,6,0
Zm00001d026017,4,1
Zm00001d002545,4,1
Zm00001d011953,4,1
Zm00001d042267,4,1
Zm00001d052368,3,0
Zm00001d051925,3,0
Zm00001d044442,6,0
Zm00001d046055,5,0
Zm00001d009985,6,0
Zm00001d036650,6,0
Zm00001d034112,5,0
Zm00001d005892,6,1
Zm00001d006169,6,1
Zm00001d029447,5,0
Zm00001d033388,3,0
Zm00001d028669,3,0
Zm00001d037140,1,1
Zm00001d021205,6,1
Zm00001d009103,5,1
Zm00001d012221,5,0
Zm00001d032897,1,0
Zm00001d009564,3,0
Zm00001d047482,7,0
Zm00001d043060,6,1
Zm00001d032694,6,1
Zm00001d043075,4,0
Zm00001d033706,5,1
Zm00001d023843,6,0
Zm00001d038755,5,0
Zm00001d048053,1,0
Zm00001d045398,1,1
Zm00001d048527,3,1
Zm00001d047392,3,0
Zm00001d034751,5,1
Zm00001d033385,6,0
Zm00001d017391,1,1
Zm00001d010465,1,0
Zm00001d020851,3,0
Zm00001d012527,6,1
Zm00001d019734,6,1
Zm00001d024030,1,0
Zm00001d018106,6,0
Zm00001d015421,5,1
Zm00001d009939,6,1
Zm00001d024843,6,0
Zm00001d029064,5,1
Zm00001d042215,4,0
Zm00001d045507,1,1
Zm00001d017575,1,1
Zm00001d018335,1,0
Zm00001d016052,6,1
Zm00001d053369,5,1
Zm00001d043649,7,0
Zm00001d012273,5,1
Zm00001d051479,3,0
Zm00001d040130,1,0
Zm00001d029783,6,0
Zm00001d034516,3,0
Zm00001d018257,7,0
Zm00001d013258,1,1
Zm00001d012238,1,0
Zm00001d052288,3,1
Zm00001d044420,3,0
Zm00001d042063,6,0
Zm00001d021665,6,0
Zm00001d003601,4,1
Zm00001d049295,4,1
Zm00001d035605,1,1
Zm00001d027846,6,1
Zm00001d021745,5,0
Zm00001d029896,1,1
Zm00001d030557,1,0
Zm00001d003993,5,0
Zm00001d021268,1,1
Zm00001d006688,1,0
Zm00001d022295,1,1
Zm00001d008841,2,0
Zm00001d033489,5,0
