V1,V2,
Zm00001d012092,1,0
Zm00001d035789,1,0
Zm00001d021511,1,0
Zm00001d002814,1,0
Zm00001d035954,1,0
Zm00001d050526,2,0
Zm00001d028730,1,0
Zm00001d022429,3,0
Zm00001d011773,1,0
Zm00001d053719,3,0
Zm00001d004659,3,0
Zm00001d007927,1,0
Zm00001d004775,4,0
Zm00001d046913,5,1
Zm00001d051636,5,0
Zm00001d002025,5,1
Zm00001d044445,5,0
Zm00001d034629,2,1
Zm00001d006885,2,0
Zm00001d028919,1,1
Zm00001d034738,1,1
Zm00001d002075,4,1
Zm00001d002823,4,0
Zm00001d017885,3,1
Zm00001d010987,4,1
Zm00001d028303,4,0
Zm00001d035512,5,1
Zm00001d008340,4,0
Zm00001d019053,5,0
Zm00001d026540,1,1
Zm00001d014969,1,0
Zm00001d011782,1,0
Zm00001d040056,5,0
Zm00001d029630,4,0
Zm00001d009123,2,0
Zm00001d022418,2,0
Zm00001d043662,4,0
Zm00001d039091,1,0
Zm00001d008435,5,0
Zm00001d047037,4,0
Zm00001d004614,3,0
Zm00001d005016,4,1
Zm00001d008299,4,0
Zm00001d019283,4,0
Zm00001d017207,5,1
Zm00001d048667,5,0
Zm00001d005977,2,0
Zm00001d038843,2,1
Zm00001d039881,4,0
Zm00001d050840,4,0
Zm00001d041727,1,0
Zm00001d006064,1,0
Zm00001d004400,2,0
Zm00001d052405,6,1
Zm00001d025342,6,0
Zm00001d029380,1,0
Zm00001d029074,2,0
Zm00001d017545,4,0
Zm00001d014954,1,0
Zm00001d006310,4,0
Zm00001d046697,1,0
Zm00001d012052,1,0
Zm00001d039589,2,0
Zm00001d017241,2,1
Zm00001d032267,4,0
Zm00001d039848,5,0
Zm00001d003049,1,0
Zm00001d011745,4,1
Zm00001d050336,4,0
Zm00001d024212,4,0
Zm00001d019054,5,0
Zm00001d032455,4,0
Zm00001d052689,1,0
Zm00001d031822,3,0
Zm00001d052485,5,0
Zm00001d011833,4,0
Zm00001d025165,1,0
Zm00001d042944,4,0
Zm00001d002395,1,0
Zm00001d039264,4,0
Zm00001d031429,4,0
Zm00001d021842,7,1
Zm00001d037189,1,0
Zm00001d008387,1,0
Zm00001d002919,2,0
Zm00001d010131,4,1
Zm00001d028472,4,1
Zm00001d014572,5,0
Zm00001d036401,4,0
Zm00001d041530,2,0
Zm00001d043527,5,0
Zm00001d045427,4,0
Zm00001d047894,4,0
Zm00001d023216,4,0
Zm00001d026270,2,0
Zm00001d009509,1,0
Zm00001d004927,2,0
Zm00001d028339,5,0
Zm00001d031956,4,0
Zm00001d006771,4,0
Zm00001d009618,4,0
Zm00001d015376,1,0
Zm00001d039166,4,0
Zm00001d008939,4,0
Zm00001d018380,3,1
Zm00001d009674,5,1
Zm00001d017271,5,0
Zm00001d012827,4,0
Zm00001d038959,2,0
Zm00001d040603,4,0
Zm00001d053727,4,0
Zm00001d016582,5,0
Zm00001d013093,5,0
Zm00001d038865,1,0
Zm00001d046073,5,0
Zm00001d038087,6,1
Zm00001d031732,2,0
Zm00001d021486,7,0
Zm00001d009211,5,0
Zm00001d045098,4,1
Zm00001d031300,1,0
Zm00001d003848,4,0
Zm00001d002122,4,0
Zm00001d027595,1,0
Zm00001d013486,4,0
Zm00001d028219,4,0
Zm00001d033995,6,0
Zm00001d020540,5,1
Zm00001d032440,5,0
Zm00001d019531,1,0
Zm00001d026109,3,0
Zm00001d012878,1,0
Zm00001d049651,4,1
Zm00001d037659,1,0
Zm00001d022517,4,1
Zm00001d003648,5,0
Zm00001d017829,4,0
Zm00001d040463,5,0
Zm00001d039534,4,0
Zm00001d046855,5,0
Zm00001d021019,5,1
Zm00001d049790,1,0
Zm00001d002339,1,0
Zm00001d008651,4,0
Zm00001d050193,1,0
Zm00001d016683,2,0
Zm00001d045812,1,0
Zm00001d017707,1,0
Zm00001d024540,1,0
Zm00001d018363,7,0
Zm00001d039933,5,0
Zm00001d027618,1,0
Zm00001d034420,4,0
Zm00001d037946,4,0
Zm00001d032576,4,0
Zm00001d024947,1,0
Zm00001d010492,2,0
Zm00001d029134,6,0
Zm00001d019033,3,0
Zm00001d048201,5,0
Zm00001d045383,1,0
Zm00001d042347,7,0
Zm00001d001966,1,0
Zm00001d009480,1,0
Zm00001d028689,3,0
Zm00001d013796,1,0
Zm00001d047603,1,0
Zm00001d035634,5,0
Zm00001d039684,5,0
Zm00001d045448,1,0
Zm00001d042966,1,0
Zm00001d024066,6,0
Zm00001d017505,4,0
Zm00001d021592,1,0
Zm00001d002960,4,0
Zm00001d042005,4,0
Zm00001d016128,5,0
Zm00001d009549,6,0
Zm00001d023301,4,0
Zm00001d040422,4,0
Zm00001d044987,6,0
Zm00001d010785,5,1
Zm00001d006753,4,0
Zm00001d031747,1,0
Zm00001d033129,5,0
Zm00001d015423,2,0
Zm00001d048707,5,0
Zm00001d011908,2,0
Zm00001d052458,2,0
Zm00001d053935,6,0
Zm00001d015521,5,1
Zm00001d046492,4,0
Zm00001d017469,1,0
Zm00001d014608,5,0
Zm00001d015291,6,0
Zm00001d002626,4,0
Zm00001d027512,1,0
Zm00001d047261,4,0
Zm00001d033233,4,0
Zm00001d038620,1,0
Zm00001d006333,4,0
Zm00001d034779,7,0
Zm00001d037637,5,0
Zm00001d025452,6,0
Zm00001d002301,4,0
Zm00001d025103,4,0
Zm00001d048787,1,0
Zm00001d053982,5,0
Zm00001d009324,6,0
Zm00001d010171,5,0
Zm00001d017378,5,0
Zm00001d006931,6,0
Zm00001d048234,4,0
Zm00001d051498,1,0
Zm00001d030656,4,0
Zm00001d012420,4,0
Zm00001d025772,5,0
Zm00001d026511,6,0
Zm00001d006287,1,0
Zm00001d027511,4,0
Zm00001d009840,7,0
Zm00001d051869,2,0
Zm00001d034918,4,0
Zm00001d014078,7,0
Zm00001d041056,7,1
Zm00001d012598,1,0
Zm00001d002595,4,0
Zm00001d008916,4,0
Zm00001d045757,2,0
Zm00001d052298,4,0
Zm00001d048369,1,1
Zm00001d037962,4,0
Zm00001d031660,4,0
Zm00001d035445,4,0
Zm00001d010693,6,0
Zm00001d027878,4,1
Zm00001d036447,6,0
Zm00001d012160,2,0
Zm00001d019706,5,0
Zm00001d051421,4,0
Zm00001d005036,5,0
Zm00001d009183,1,0
