V1,V2,
Zm00001d023411,1,1
Zm00001d023402,1,1
Zm00001d051749,2,1
Zm00001d051753,3,0
Zm00001d009088,2,1
Zm00001d009090,2,0
Zm00001d047355,4,1
Zm00001d047356,4,1
Zm00001d049543,4,1
Zm00001d002325,4,0
Zm00001d033987,2,1
Zm00001d024903,2,0
Zm00001d026017,4,1
Zm00001d002545,4,1
Zm00001d026203,5,1
Zm00001d026204,6,1
Zm00001d052180,4,1
Zm00001d018142,3,1
Zm00001d030678,7,1
Zm00001d041576,7,1
Zm00001d047671,7,1
Zm00001d047452,7,0
Zm00001d038189,3,1
Zm00001d022599,4,0
Zm00001d046500,1,0
Zm00001d026351,2,1
Zm00001d002234,2,1
Zm00001d046937,7,1
Zm00001d031300,7,0
Zm00001d034160,6,1
Zm00001d013202,7,1
Zm00001d008869,6,1
Zm00001d002940,3,0
Zm00001d029460,1,0
Zm00001d040090,8,1
Zm00001d040091,2,0
Zm00001d030028,2,1
Zm00001d047017,2,1
Zm00001d047204,4,0
Zm00001d013662,1,1
Zm00001d013663,8,0
Zm00001d028561,2,0
Zm00001d026094,2,1
Zm00001d009556,4,0
Zm00001d053151,7,1
Zm00001d044068,7,0
Zm00001d032316,2,1
Zm00001d050310,7,1
Zm00001d020495,5,1
Zm00001d020492,5,1
Zm00001d008612,7,1
Zm00001d027421,7,0
Zm00001d031325,2,0
Zm00001d017422,2,1
Zm00001d025055,5,0
Zm00001d029027,7,0
Zm00001d049495,3,1
Zm00001d042058,3,0
Zm00001d028367,1,0
Zm00001d052340,3,0
Zm00001d024268,7,1
Zm00001d024269,7,0
Zm00001d026447,2,1
Zm00001d037631,2,0
Zm00001d043915,3,1
Zm00001d053826,3,0
Zm00001d012255,2,1
Zm00001d012494,2,0
Zm00001d014863,4,1
Zm00001d037951,3,0
Zm00001d031303,7,0
Zm00001d032331,2,0
Zm00001d034145,2,1
Zm00001d013208,2,1
Zm00001d035214,6,0
Zm00001d039000,4,0
Zm00001d052216,3,0
Zm00001d002823,4,0
Zm00001d039566,2,0
Zm00001d015705,7,0
Zm00001d023340,2,0
Zm00001d017002,2,0
Zm00001d010079,2,0
Zm00001d051239,2,1
Zm00001d017366,2,1
Zm00001d024324,2,1
Zm00001d039524,2,0
Zm00001d014083,2,0
Zm00001d026191,2,1
Zm00001d002762,2,1
Zm00001d031725,2,1
Zm00001d046632,2,1
Zm00001d033898,7,1
Zm00001d049244,4,1
Zm00001d028625,7,1
Zm00001d037771,7,0
Zm00001d043025,5,1
Zm00001d012482,5,1
Zm00001d033990,2,0
Zm00001d039245,5,1
Zm00001d007208,5,0
Zm00001d010586,2,0
Zm00001d031736,2,1
Zm00001d042922,4,0
Zm00001d042880,4,0
Zm00001d030995,4,1
Zm00001d002896,7,1
Zm00001d044010,5,1
Zm00001d036364,5,1
Zm00001d011785,4,1
Zm00001d017241,4,1
Zm00001d008841,2,0
Zm00001d014938,8,1
Zm00001d039218,8,0
Zm00001d007027,2,0
Zm00001d023616,2,0
Zm00001d021645,7,0
Zm00001d053124,7,1
Zm00001d009715,7,1
Zm00001d012856,4,0
Zm00001d048693,4,0
Zm00001d013849,6,1
Zm00001d032453,6,0
Zm00001d013259,4,1
Zm00001d007949,4,1
Zm00001d005892,2,1
Zm00001d006169,2,1
Zm00001d002801,6,1
Zm00001d052194,2,0
Zm00001d052125,8,1
Zm00001d015213,8,0
Zm00001d033316,2,0
Zm00001d017592,2,1
Zm00001d002618,2,1
Zm00001d021263,2,1
Zm00001d018461,2,0
Zm00001d046834,1,0
Zm00001d023615,1,1
Zm00001d016660,1,0
Zm00001d026271,2,1
Zm00001d002364,2,1
Zm00001d031428,1,0
Zm00001d007254,8,0
Zm00001d034808,7,0
Zm00001d037914,5,0
Zm00001d029736,7,1
Zm00001d005742,1,0
Zm00001d002079,2,1
Zm00001d049016,2,0
Zm00001d047462,7,0
Zm00001d028240,7,0
Zm00001d002999,2,0
Zm00001d043706,2,1
Zm00001d046718,4,1
Zm00001d042341,4,0
Zm00001d046402,7,1
Zm00001d021396,7,0
Zm00001d042349,7,0
Zm00001d052397,6,1
Zm00001d051787,6,0
Zm00001d025652,7,0
Zm00001d037909,5,0
Zm00001d045463,6,1
Zm00001d043729,6,0
Zm00001d028408,2,0
Zm00001d017279,3,0
Zm00001d034045,4,1
Zm00001d011585,7,0
Zm00001d053060,6,1
Zm00001d051529,6,0
Zm00001d002754,6,1
Zm00001d010380,2,0
Zm00001d027435,7,1
Zm00001d022424,5,1
Zm00001d008399,5,1
Zm00001d033347,7,1
Zm00001d053177,4,0
Zm00001d010730,2,1
Zm00001d038683,2,1
Zm00001d034249,7,0
Zm00001d025900,6,0
Zm00001d010634,7,1
Zm00001d038527,7,1
Zm00001d020344,3,0
Zm00001d016588,7,0
Zm00001d038325,5,0
Zm00001d035089,3,0
Zm00001d002799,7,1
Zm00001d007167,7,0
Zm00001d043921,6,1
Zm00001d042906,6,0
