,V1,V2,
1,Zm00001d013709,1,1
2,Zm00001d013708,1,0
3,Zm00001d034045,2,1
4,Zm00001d013259,2,1
5,Zm00001d023411,3,1
6,Zm00001d023402,3,1
7,Zm00001d047356,4,1
8,Zm00001d047355,5,1
9,Zm00001d022088,2,1
10,Zm00001d021424,6,1
11,Zm00001d048353,6,0
12,Zm00001d039506,4,1
13,Zm00001d008817,4,1
14,Zm00001d003583,6,1
15,Zm00001d007973,6,0
16,Zm00001d026542,5,1
17,Zm00001d033347,5,1
18,Zm00001d020982,4,1
19,Zm00001d006053,4,1
20,Zm00001d049543,1,1
21,Zm00001d014863,2,1
22,Zm00001d034605,1,1
23,Zm00001d015612,1,0
24,Zm00001d009103,5,1
25,Zm00001d027924,5,1
26,Zm00001d022488,7,1
27,Zm00001d035082,7,0
28,Zm00001d047081,6,1
29,Zm00001d029896,6,1
30,Zm00001d037941,3,1
31,Zm00001d012221,5,0
32,Zm00001d010907,6,1
33,Zm00001d024784,6,1
34,Zm00001d033987,2,1
35,Zm00001d031736,2,1
36,Zm00001d049244,2,1
37,Zm00001d026540,8,1
38,Zm00001d001945,6,1
39,Zm00001d010987,3,1
40,Zm00001d010988,3,0
41,Zm00001d027425,6,1
42,Zm00001d048474,5,1
43,Zm00001d002452,6,1
44,Zm00001d017712,3,1
45,Zm00001d009088,7,1
46,Zm00001d009090,7,0
47,Zm00001d038761,4,1
48,Zm00001d010805,4,1
49,Zm00001d015743,7,1
50,Zm00001d012378,7,0
51,Zm00001d014989,6,1
52,Zm00001d032881,6,0
53,Zm00001d027846,4,1
54,Zm00001d032999,4,1
55,Zm00001d011785,7,1
56,Zm00001d006026,3,0
57,Zm00001d024323,8,1
58,Zm00001d034925,7,0
59,Zm00001d026357,6,0
60,Zm00001d040651,5,1
61,Zm00001d042953,4,0
62,Zm00001d039969,6,0
63,Zm00001d046621,8,1
64,Zm00001d002864,8,0
65,Zm00001d037015,3,1
66,Zm00001d004126,6,0
67,Zm00001d041985,6,0
68,Zm00001d051799,3,0
69,Zm00001d035918,4,1
70,Zm00001d044476,4,0
71,Zm00001d003563,6,0
72,Zm00001d044122,8,0
73,Zm00001d045107,6,1
74,Zm00001d053192,6,0
75,Zm00001d016841,7,0
76,Zm00001d008444,6,1
77,Zm00001d025547,6,0
78,Zm00001d032316,7,1
79,Zm00001d050310,7,1
80,Zm00001d020714,5,1
81,Zm00001d043950,5,1
82,Zm00001d045204,3,1
83,Zm00001d007624,4,0
84,Zm00001d043782,3,1
85,Zm00001d011639,5,1
86,Zm00001d011442,6,0
87,Zm00001d014914,7,0
88,Zm00001d044030,6,0
89,Zm00001d014984,4,0
90,Zm00001d015636,4,0
91,Zm00001d011692,1,1
92,Zm00001d024416,1,0
93,Zm00001d049640,3,0
