V1,V2,
Zm00001d022088,1,1
Zm00001d034045,1,1
Zm00001d039306,2,1
Zm00001d027337,2,0
Zm00001d015759,3,1
Zm00001d051923,3,0
Zm00001d020851,2,0
Zm00001d038683,3,1
Zm00001d016361,3,1
Zm00001d031736,4,1
Zm00001d033987,4,1
Zm00001d047081,3,1
Zm00001d029896,3,1
Zm00001d030028,3,1
Zm00001d017840,3,0
Zm00001d053094,3,0
Zm00001d049543,4,1
Zm00001d048693,4,0
Zm00001d017726,5,1
Zm00001d030163,5,0
Zm00001d013259,1,1
Zm00001d007949,1,1
Zm00001d016581,2,0
Zm00001d027471,5,0
Zm00001d026436,3,0
Zm00001d007768,2,1
Zm00001d042930,2,0
Zm00001d046378,3,0
Zm00001d048086,2,0
Zm00001d053099,3,0
Zm00001d022276,2,0
Zm00001d050241,3,0
Zm00001d029287,6,1
Zm00001d035440,6,1
Zm00001d043915,1,1
Zm00001d043861,1,0
Zm00001d051513,2,0
Zm00001d033280,3,1
Zm00001d001802,3,0
Zm00001d052397,4,1
Zm00001d027486,4,0
Zm00001d036351,2,0
Zm00001d036360,2,0
Zm00001d033870,2,1
Zm00001d013357,2,1
Zm00001d040527,5,1
Zm00001d017454,3,0
Zm00001d016516,1,0
Zm00001d053826,1,0
Zm00001d031943,2,0
Zm00001d001968,1,0
Zm00001d024492,1,0
Zm00001d047554,7,1
Zm00001d028995,7,1
Zm00001d002801,5,1
Zm00001d027335,5,1
Zm00001d014938,2,1
Zm00001d018261,2,0
Zm00001d014313,3,0
Zm00001d047204,4,0
Zm00001d045533,2,1
Zm00001d035965,2,1
Zm00001d033671,3,0
Zm00001d028601,5,0
Zm00001d023901,2,0
Zm00001d027419,3,1
Zm00001d010730,3,1
Zm00001d017391,2,1
Zm00001d025944,2,1
Zm00001d035907,5,1
Zm00001d029898,8,0
Zm00001d046947,5,1
Zm00001d002350,8,0
Zm00001d032170,1,0
Zm00001d022295,2,1
Zm00001d030698,2,0
Zm00001d051590,1,0
Zm00001d027802,5,1
Zm00001d040173,5,0
Zm00001d013560,1,1
Zm00001d033404,1,1
Zm00001d035657,3,0
Zm00001d026712,5,0
Zm00001d024784,5,1
Zm00001d030727,2,1
Zm00001d041549,2,1
Zm00001d004933,2,0
Zm00001d018930,2,1
Zm00001d023301,2,0
Zm00001d038527,5,1
Zm00001d038186,5,0
Zm00001d040933,3,0
Zm00001d010918,2,0
Zm00001d002364,7,1
Zm00001d022327,7,0
Zm00001d043929,5,0
Zm00001d034947,7,1
Zm00001d023413,7,0
Zm00001d018667,1,1
Zm00001d031868,3,0
Zm00001d002546,2,0
Zm00001d021392,5,0
Zm00001d027852,3,1
Zm00001d029747,3,0
Zm00001d023400,7,0
Zm00001d008612,4,1
Zm00001d032420,4,0
Zm00001d019648,3,0
Zm00001d020018,4,0
Zm00001d009700,5,0
Zm00001d014341,5,0
Zm00001d014507,5,1
Zm00001d022374,5,0
Zm00001d027760,2,0
Zm00001d034888,3,1
Zm00001d004649,3,0
Zm00001d032686,5,0
Zm00001d018415,2,0
Zm00001d051787,4,0
Zm00001d008224,2,0
Zm00001d034353,3,1
Zm00001d006612,3,0
Zm00001d030314,3,0
Zm00001d013095,2,0
Zm00001d027317,4,1
Zm00001d033246,2,1
Zm00001d014716,4,0
Zm00001d047746,2,0
Zm00001d024071,5,0
Zm00001d051328,2,1
Zm00001d017444,2,0
Zm00001d044686,5,0
Zm00001d038555,5,0
Zm00001d034467,1,1
Zm00001d005043,1,0
Zm00001d033005,3,1
Zm00001d009373,3,0
Zm00001d047673,2,0
Zm00001d010907,5,1
Zm00001d027504,3,0
Zm00001d028999,8,1
Zm00001d052905,8,1
Zm00001d010171,5,0
Zm00001d010075,7,0
Zm00001d052133,3,1
Zm00001d037140,2,1
Zm00001d020137,7,1
Zm00001d023616,7,0
Zm00001d007384,4,1
Zm00001d009502,1,0
Zm00001d037120,2,0
Zm00001d027510,1,1
Zm00001d046905,1,0
Zm00001d034257,4,0
Zm00001d046402,8,1
Zm00001d047276,5,0
Zm00001d026351,2,1
Zm00001d002234,2,1
Zm00001d033325,2,1
Zm00001d013960,2,0
Zm00001d052288,2,1
Zm00001d026129,2,0
Zm00001d008249,2,0
Zm00001d039194,5,0
Zm00001d007862,2,0
Zm00001d016082,2,0
Zm00001d046297,5,0
Zm00001d045302,5,0
Zm00001d028796,2,0
Zm00001d010987,7,1
Zm00001d039052,7,0
Zm00001d018225,2,1
Zm00001d030363,5,0
Zm00001d049158,5,1
Zm00001d007311,5,1
Zm00001d039770,5,0
Zm00001d024027,5,0
Zm00001d022102,3,0
Zm00001d050781,1,1
Zm00001d012064,1,0
Zm00001d044945,2,0
Zm00001d034186,7,0
Zm00001d038504,5,1
Zm00001d013993,6,0
Zm00001d011311,4,0
Zm00001d029736,5,1
Zm00001d027435,5,1
Zm00001d043296,4,0
Zm00001d026540,2,1
Zm00001d001945,2,1
Zm00001d052112,2,1
Zm00001d005843,2,1
Zm00001d003038,2,0
Zm00001d037607,8,1
Zm00001d009939,7,1
Zm00001d040509,3,0
Zm00001d028423,3,0
Zm00001d039498,2,0
Zm00001d037711,3,0
Zm00001d030526,5,0
Zm00001d042830,3,1
Zm00001d032873,3,0
Zm00001d034457,1,1
Zm00001d000576,1,0
Zm00001d011187,3,1
Zm00001d021299,5,0
Zm00001d011785,4,1
Zm00001d017241,4,1
Zm00001d018421,5,1
Zm00001d033917,5,0
Zm00001d017275,5,0
Zm00001d024630,5,1
Zm00001d033194,3,0
Zm00001d054080,3,1
Zm00001d022390,3,0
Zm00001d010948,4,1
Zm00001d027290,4,0
Zm00001d030346,3,0
Zm00001d029932,5,0
Zm00001d028974,3,1
Zm00001d024754,3,0
Zm00001d013849,5,1
Zm00001d028222,3,0
Zm00001d038084,4,0
Zm00001d011692,3,1
Zm00001d039883,1,0
Zm00001d036727,5,0
Zm00001d015737,2,0
Zm00001d038223,2,0
Zm00001d017742,2,1
Zm00001d009717,3,0
Zm00001d002829,2,1
Zm00001d018388,3,0
Zm00001d034917,5,0
Zm00001d045210,7,0
Zm00001d028810,6,0
Zm00001d042767,5,0
Zm00001d041763,4,0
Zm00001d017350,3,1
Zm00001d048703,3,0
Zm00001d044420,2,0
Zm00001d010173,2,0
Zm00001d016185,5,0
Zm00001d013006,1,0
Zm00001d051016,2,0
Zm00001d013662,2,1
Zm00001d013663,2,0
Zm00001d021389,5,1
Zm00001d016733,5,0
Zm00001d010062,2,0
Zm00001d040710,2,0
Zm00001d018829,3,1
Zm00001d044802,3,0
Zm00001d047881,3,0
Zm00001d033516,3,0
Zm00001d047017,7,1
Zm00001d043706,7,1
Zm00001d010280,3,1
Zm00001d028510,3,0
Zm00001d038191,3,1
Zm00001d047563,5,1
Zm00001d002357,7,0
Zm00001d043368,3,1
Zm00001d031732,5,0
Zm00001d018142,8,1
Zm00001d052180,4,1
Zm00001d049407,3,0
Zm00001d049364,6,1
Zm00001d024324,6,1
Zm00001d020225,2,0
Zm00001d033717,4,0
Zm00001d033848,7,1
Zm00001d034388,7,0
Zm00001d016175,5,1
Zm00001d034017,5,0
Zm00001d037337,2,0
Zm00001d018157,4,0
Zm00001d031064,2,1
Zm00001d006658,2,0
Zm00001d045468,5,0
Zm00001d032948,3,0
Zm00001d013319,5,0
Zm00001d049938,2,0
Zm00001d044672,2,0
Zm00001d008764,5,0
Zm00001d042386,2,0
Zm00001d043430,3,0
Zm00001d047970,2,0
Zm00001d005346,4,0
Zm00001d051112,2,0
Zm00001d054094,2,0
Zm00001d026063,2,0
Zm00001d046996,1,0
Zm00001d040154,1,0
Zm00001d013119,3,1
Zm00001d050488,1,0
Zm00001d026240,2,1
Zm00001d015226,8,1
Zm00001d033896,5,0
Zm00001d038664,1,1
Zm00001d014972,1,0
Zm00001d036123,5,0
Zm00001d007076,5,0
Zm00001d003064,7,1
Zm00001d048558,7,0
Zm00001d007372,2,0
Zm00001d039104,4,0
Zm00001d043423,3,0
Zm00001d053151,5,1
Zm00001d030032,5,1
Zm00001d019150,3,0
Zm00001d032805,2,0
Zm00001d041791,2,1
Zm00001d035266,2,1
Zm00001d008939,1,0
Zm00001d043458,5,0
Zm00001d031270,5,1
Zm00001d007832,5,0
Zm00001d047399,5,0
Zm00001d018056,3,1
Zm00001d002662,2,0
Zm00001d021236,3,1
Zm00001d022611,2,0
Zm00001d034204,2,1
Zm00001d035757,2,0
Zm00001d021424,3,1
Zm00001d008334,3,0
Zm00001d029519,5,0
Zm00001d021447,2,0
Zm00001d033527,4,0
Zm00001d024281,5,0
Zm00001d020939,1,1
Zm00001d036977,1,0
Zm00001d016952,3,1
Zm00001d038699,3,0
Zm00001d051632,4,1
Zm00001d042355,4,0
Zm00001d031161,5,0
Zm00001d009336,1,0
Zm00001d046357,5,0
Zm00001d040246,5,0
Zm00001d029012,5,0
Zm00001d038020,5,0
Zm00001d032453,5,0
Zm00001d039371,3,1
Zm00001d052733,5,0
Zm00001d013295,3,0
Zm00001d042486,4,0
Zm00001d019855,3,0
Zm00001d021515,4,0
Zm00001d032331,4,0
Zm00001d023634,1,0
Zm00001d014386,3,0
Zm00001d046485,2,0
Zm00001d028216,2,1
Zm00001d020629,2,0
Zm00001d037682,3,0
Zm00001d017288,5,0
Zm00001d045560,5,1
Zm00001d023419,5,0
Zm00001d051187,1,0
Zm00001d047661,3,0
Zm00001d049046,8,0
Zm00001d045450,5,0
Zm00001d011527,8,1
Zm00001d017152,8,0
Zm00001d025774,2,0
Zm00001d052152,7,1
Zm00001d018191,7,1
Zm00001d050218,7,0
Zm00001d039379,3,0
Zm00001d002850,7,0
Zm00001d019462,2,0
Zm00001d029784,3,0
Zm00001d044538,5,1
Zm00001d006725,1,0
Zm00001d043921,5,1
Zm00001d012408,5,0
Zm00001d017592,7,1
Zm00001d032120,7,0
Zm00001d006149,5,0
Zm00001d034212,4,1
Zm00001d035447,6,0
Zm00001d032694,3,1
Zm00001d026015,2,0
Zm00001d012808,5,0
Zm00001d028625,4,1
Zm00001d045661,4,1
Zm00001d052741,3,0
Zm00001d018045,3,1
Zm00001d052256,3,0
Zm00001d020461,2,0
Zm00001d051591,2,0
Zm00001d021403,3,1
Zm00001d009751,1,0
Zm00001d037273,8,0
Zm00001d031725,3,1
Zm00001d015614,3,1
Zm00001d017457,7,0
Zm00001d032999,5,1
Zm00001d027846,5,1
Zm00001d017043,2,0
Zm00001d050664,1,1
Zm00001d034239,1,0
Zm00001d032744,2,0
Zm00001d021645,4,0
Zm00001d036978,4,0
Zm00001d005888,5,1
Zm00001d049954,7,0
Zm00001d015999,4,0
Zm00001d026139,5,0
Zm00001d039941,5,0
Zm00001d006950,5,0
Zm00001d018369,2,0
Zm00001d002094,3,0
Zm00001d008528,8,1
Zm00001d029906,5,0
Zm00001d020220,4,0
Zm00001d005966,1,0
Zm00001d048004,2,1
Zm00001d007840,2,1
Zm00001d048054,3,0
Zm00001d045581,1,1
Zm00001d008642,5,0
Zm00001d030737,3,1
Zm00001d023856,3,0
Zm00001d040898,1,0
Zm00001d029293,5,1
Zm00001d029888,2,0
Zm00001d009028,4,0
Zm00001d023316,1,1
Zm00001d013392,1,0
Zm00001d052804,5,1
Zm00001d003612,1,0
Zm00001d032922,4,1
Zm00001d015268,3,1
Zm00001d033898,5,1
Zm00001d028432,5,1
Zm00001d030550,4,0
Zm00001d002534,2,0
Zm00001d034702,2,0
Zm00001d010179,5,0
