V1,V2,
Zm00001d009595,1,1
Zm00001d002888,1,0
Zm00001d048569,2,0
Zm00001d031620,3,1
Zm00001d021057,3,1
Zm00001d052936,1,0
Zm00001d025355,1,0
Zm00001d046914,1,0
Zm00001d031296,1,0
Zm00001d003331,3,1
Zm00001d025669,3,1
Zm00001d034924,1,0
Zm00001d014932,1,0
Zm00001d051696,1,0
Zm00001d027802,2,1
Zm00001d048471,2,1
Zm00001d039044,1,1
Zm00001d035084,3,1
Zm00001d033917,2,0
Zm00001d050904,1,0
Zm00001d036050,2,1
Zm00001d037384,3,0
Zm00001d006094,3,1
Zm00001d047017,4,1
Zm00001d030028,4,1
Zm00001d047298,1,0
Zm00001d052856,1,0
Zm00001d015614,4,1
Zm00001d041387,4,0
Zm00001d025195,3,0
Zm00001d033987,5,1
Zm00001d049244,5,1
Zm00001d037498,1,0
Zm00001d027852,3,1
Zm00001d053004,3,0
Zm00001d030191,2,1
Zm00001d035212,2,0
Zm00001d042618,3,1
Zm00001d052229,2,1
Zm00001d014349,2,0
Zm00001d048297,5,1
Zm00001d015872,5,0
Zm00001d013399,2,1
Zm00001d009010,2,0
Zm00001d033395,2,0
Zm00001d053220,2,1
Zm00001d047492,2,0
Zm00001d038761,3,1
Zm00001d012274,3,0
Zm00001d001931,1,0
Zm00001d033902,4,0
Zm00001d017702,2,1
Zm00001d003429,2,0
Zm00001d026491,3,1
Zm00001d002005,3,1
Zm00001d020628,2,0
Zm00001d049678,3,1
Zm00001d050323,2,0
Zm00001d014863,5,1
Zm00001d042880,5,0
Zm00001d026252,4,1
Zm00001d030891,4,1
Zm00001d025727,5,1
Zm00001d010418,5,0
Zm00001d037212,1,1
Zm00001d045125,3,0
Zm00001d041549,2,1
Zm00001d026063,2,0
Zm00001d052133,6,1
Zm00001d031853,6,0
Zm00001d021177,2,0
Zm00001d017592,4,1
Zm00001d002618,4,1
Zm00001d034751,6,1
Zm00001d032760,6,0
Zm00001d027313,3,0
Zm00001d006207,3,0
Zm00001d051543,6,0
Zm00001d010399,4,1
Zm00001d038023,4,1
Zm00001d027435,2,1
Zm00001d020977,2,0
Zm00001d038793,4,0
Zm00001d003767,2,0
Zm00001d031822,3,0
Zm00001d004220,2,0
Zm00001d035016,1,0
Zm00001d004198,3,0
Zm00001d014082,6,0
Zm00001d022424,2,1
Zm00001d015798,2,0
Zm00001d005945,4,0
Zm00001d043921,2,1
Zm00001d050403,2,0
Zm00001d016733,3,0
Zm00001d050195,4,1
Zm00001d014007,4,0
Zm00001d030103,2,0
Zm00001d010797,1,0
Zm00001d046118,3,0
Zm00001d031109,2,1
Zm00001d009762,2,0
Zm00001d029892,2,0
Zm00001d003311,4,0
Zm00001d033745,6,0
Zm00001d018225,2,1
Zm00001d017614,3,1
Zm00001d011285,2,0
Zm00001d024784,3,1
Zm00001d038101,3,0
Zm00001d050977,2,0
Zm00001d041236,2,0
Zm00001d042780,2,0
Zm00001d039910,4,0
Zm00001d039010,3,0
Zm00001d030691,6,0
Zm00001d013849,2,1
Zm00001d027335,3,1
Zm00001d020275,4,0
Zm00001d028750,3,0
Zm00001d028670,2,0
Zm00001d021818,3,1
Zm00001d044039,3,0
Zm00001d046487,1,0
Zm00001d034605,6,1
Zm00001d012664,4,0
Zm00001d036251,3,1
Zm00001d002037,3,0
Zm00001d031753,2,0
Zm00001d046937,7,1
Zm00001d029983,7,0
Zm00001d024047,3,0
Zm00001d007848,5,0
Zm00001d038229,2,0
Zm00001d039471,2,0
Zm00001d035677,4,0
Zm00001d018779,2,0
Zm00001d046454,2,0
Zm00001d009877,2,0
Zm00001d046383,2,0
Zm00001d047424,2,0
Zm00001d042813,3,0
Zm00001d001820,3,0
Zm00001d042736,3,1
Zm00001d002772,3,0
Zm00001d052209,2,0
Zm00001d026351,6,1
Zm00001d002234,6,1
Zm00001d022496,3,0
Zm00001d051465,3,1
Zm00001d017896,1,0
Zm00001d020358,4,0
Zm00001d021173,2,0
Zm00001d034488,3,0
Zm00001d037737,3,1
Zm00001d035007,2,0
Zm00001d009567,2,0
Zm00001d015759,3,1
Zm00001d039267,3,1
Zm00001d010233,3,1
Zm00001d051334,2,0
Zm00001d031061,2,1
Zm00001d006132,2,0
Zm00001d022627,2,0
Zm00001d037371,2,0
Zm00001d021245,3,0
Zm00001d044083,3,0
Zm00001d015639,4,1
Zm00001d053707,4,1
Zm00001d046297,2,0
Zm00001d006050,2,0
Zm00001d032197,2,0
Zm00001d045445,2,0
Zm00001d020736,4,0
Zm00001d026268,2,0
Zm00001d039426,2,0
Zm00001d026271,4,1
Zm00001d046632,4,1
Zm00001d047512,2,0
Zm00001d048998,2,0
Zm00001d010805,3,1
Zm00001d044596,3,0
Zm00001d007709,1,0
Zm00001d051945,1,0
Zm00001d001982,2,0
Zm00001d001894,2,1
Zm00001d051456,2,1
Zm00001d027431,2,1
Zm00001d053020,6,1
Zm00001d014762,4,1
Zm00001d027456,2,0
Zm00001d039701,3,0
Zm00001d014405,2,1
Zm00001d046786,2,0
Zm00001d032669,2,0
Zm00001d052523,4,0
Zm00001d023402,4,1
Zm00001d023411,4,1
Zm00001d039363,2,0
Zm00001d047309,5,1
Zm00001d030373,5,0
Zm00001d018142,3,1
Zm00001d052180,3,1
Zm00001d043350,1,0
Zm00001d022295,2,1
Zm00001d034206,2,0
Zm00001d039113,6,1
Zm00001d005888,2,1
Zm00001d013230,2,0
Zm00001d027601,2,0
Zm00001d020220,2,0
Zm00001d042049,2,0
Zm00001d006149,2,0
Zm00001d052424,1,0
Zm00001d018081,4,1
Zm00001d011919,4,0
Zm00001d044664,6,0
Zm00001d052323,2,0
Zm00001d023815,3,0
Zm00001d010232,3,1
Zm00001d030314,3,0
Zm00001d053093,1,0
Zm00001d009374,2,0
Zm00001d036330,5,1
Zm00001d012906,5,0
Zm00001d053151,2,1
Zm00001d027854,2,0
Zm00001d003718,2,0
Zm00001d020837,4,1
Zm00001d013465,4,1
Zm00001d038048,3,0
Zm00001d031736,5,1
Zm00001d014600,2,0
Zm00001d013635,2,0
Zm00001d029293,3,1
Zm00001d019560,3,0
Zm00001d052738,2,1
Zm00001d023468,4,0
Zm00001d020983,6,0
Zm00001d031213,1,0
Zm00001d027841,2,0
Zm00001d043687,3,1
Zm00001d031855,3,0
Zm00001d024691,2,0
Zm00001d026599,2,0
Zm00001d002025,2,1
Zm00001d053382,2,0
Zm00001d014507,2,1
Zm00001d008230,2,0
Zm00001d005843,2,1
Zm00001d019462,2,0
Zm00001d026343,6,0
Zm00001d046170,2,0
Zm00001d053210,2,1
Zm00001d006587,2,0
Zm00001d039941,2,0
Zm00001d048082,3,1
Zm00001d028217,3,1
Zm00001d018752,6,0
Zm00001d001838,1,1
Zm00001d048421,1,0
Zm00001d020557,2,0
Zm00001d042993,2,0
Zm00001d018415,2,0
Zm00001d052731,2,0
Zm00001d050043,2,0
Zm00001d041732,3,0
Zm00001d033898,2,1
Zm00001d045581,5,1
Zm00001d022000,5,0
Zm00001d011692,6,1
Zm00001d043695,6,0
Zm00001d037323,2,0
Zm00001d007351,3,0
Zm00001d038064,2,0
Zm00001d012524,1,0
Zm00001d024915,3,0
Zm00001d026094,5,1
Zm00001d015292,2,0
Zm00001d003538,4,0
Zm00001d051787,4,0
Zm00001d010179,3,0
Zm00001d032776,2,0
Zm00001d021236,4,1
Zm00001d027904,6,0
Zm00001d034978,2,0
Zm00001d003516,5,0
Zm00001d052104,2,0
Zm00001d024701,6,1
Zm00001d039144,3,0
Zm00001d013319,3,0
Zm00001d009556,5,0
Zm00001d023810,2,0
Zm00001d005016,2,1
Zm00001d035842,2,0
Zm00001d009506,3,0
Zm00001d051163,2,0
Zm00001d012304,4,0
Zm00001d033075,3,1
Zm00001d021321,3,0
Zm00001d027846,2,1
Zm00001d015743,2,1
Zm00001d025413,6,0
Zm00001d044538,3,1
Zm00001d011470,3,1
Zm00001d015889,2,0
Zm00001d008612,2,1
Zm00001d029027,3,0
Zm00001d043171,2,0
Zm00001d052318,3,0
Zm00001d024630,3,1
Zm00001d019994,3,0
Zm00001d016134,2,0
Zm00001d029149,2,1
Zm00001d009929,2,0
Zm00001d012019,1,0
Zm00001d033325,6,1
Zm00001d049822,6,1
Zm00001d016332,2,1
Zm00001d049950,3,0
Zm00001d003012,3,0
Zm00001d046642,3,0
Zm00001d020957,2,0
Zm00001d049926,1,0
Zm00001d013163,4,0
Zm00001d002904,5,0
Zm00001d007824,6,0
Zm00001d053888,3,0
Zm00001d050061,2,0
Zm00001d052595,2,0
